actor_name,href,oscar,movie_name,sag,golden_globe_drama,golden_globe_mc,bafta,critics_choice,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Jeremy Irons,https://en.wikipedia.org/wiki/Jeremy_Irons,1,Reversal of Fortune,0,1,0,0,0,0,0,R,7.3,93,111,1990,3.6,7.8,Warner Bros.,15445131,Thriller,15445131
Kevin Costner,https://en.wikipedia.org/wiki/Kevin_Costner,0,Dances with Wolves,0,0,0,0,0,0,0,PG-13,8,72,181,1990,3.6,7.5,Orion Pictures,184208848,Western,424208848
Robert De Niro,https://en.wikipedia.org/wiki/Robert_De_Niro,0,Awakenings,0,0,0,0,0,0,1,PG-13,7.8,74,121,1990,3.8,6.7,Columbia,52096475,Drama,52096475
Gerard Depardieu,https://en.wikipedia.org/wiki/G%C3%A9rard_Depardieu,0,Cyrano de Bergerac,0,0,0,0,0,0,0,PG,7.6,75,137,1990,3.9,7.8,Orion Classics,5820020,Foreign,5820020
Richard Harris,https://en.wikipedia.org/wiki/Richard_Harris,0,The Field,0,0,0,0,0,0,0,PG-13,7.4,70,107,1990,3.9,5.2,Avenue Pict.,1494399,Period,1494399
Anthony Hopkins,https://en.wikipedia.org/wiki/Anthony_Hopkins,1,The Silence of the Lambs,0,0,0,1,0,0,0,A,8.6,85,118,1991,4.2,8.6,Orion Pictures,130742922,Thriller,272742922
Warren Beatty,https://en.wikipedia.org/wiki/Warren_Beatty,0,Bugsy,0,0,0,0,0,0,1,R,6.8,80,136,1991,3.4,7,TriStar,49114016,Crime,49114016
Robert De Niro,https://en.wikipedia.org/wiki/Robert_De_Niro,0,Cape Fear,0,0,0,0,0,0,0,A,7.3,73,128,1991,3.5,7.1,Universal,79091969,Thriller,182291969
Nick Nolte,https://en.wikipedia.org/wiki/Nick_Nolte,0,The Prince of Tides,0,1,0,0,0,0,0,R,6.7,65,132,1991,3.5,6.5,Columbia,74787599,Drama,74787599
Robin Williams,https://en.wikipedia.org/wiki/Robin_Williams,0,The Fisher King,0,0,1,0,0,0,0,R,7.6,61,137,1991,3.6,6.9,TriStar,41895491,Fantasy,41895491
Al Pacino,https://en.wikipedia.org/wiki/Al_Pacino,1,Scent of a Woman,0,1,0,0,0,0,0,R,8,59,156,1992,3.9,7.1,Universal,63095253,Drama,134095253
Robert Downey Jr.,https://en.wikipedia.org/wiki/Robert_Downey_Jr.,0,Chaplin,0,0,0,1,0,0,0,PG-13,7.6,47,143,1992,3.8,5.8,TriStar,9493259,Period,9493259
Clint Eastwood,https://en.wikipedia.org/wiki/Clint_Eastwood,0,Unforgiven,0,0,0,0,0,0,0,R,8.2,85,130,1992,4,8.7,Warner Bros.,101157447,Western,159157447
Stephen Rea,https://en.wikipedia.org/wiki/Stephen_Rea,0,The Crying Game,0,0,0,0,0,0,0,R,7.3,90,112,1992,3.5,8.3,Miramax,62548947,Thriller,62548947
