actress_name,href,oscar,movie_name,sag,golden_globe_drama,golden_globe_mc,bafta,critics_choice,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Kathy Bates,https://en.wikipedia.org/wiki/Kathy_Bates,1,Misery,0,1,0,0,0,0,0,R,7.8,75,107,1990,3.8,7.5,Columbia,61276872,Thriller,61276872
Anjelica Huston,https://en.wikipedia.org/wiki/Anjelica_Huston,0,The Grifters,0,0,0,0,0,0,0,R,7,86,110,1990,3.5,8,Miramax,13446769,Crime,13446769
Julia Roberts,https://en.wikipedia.org/wiki/Julia_Roberts,0,Pretty Woman,0,0,1,0,0,0,0,R,7,51,119,1990,3.5,5.7,Buena Vista,178406268,Romance,463406268
Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep,0,Postcards from the Edge,0,0,0,0,0,0,0,R,6.7,71,101,1990,3.5,7,Columbia,39071603,Comedy,39071603
Joanne Woodward,https://en.wikipedia.org/wiki/Joanne_Woodward,0,Mr. & Mrs. Bridge,0,0,0,0,0,0,0,PG-13,6.7,73,126,1990,3.1,6,Miramax,7698000,Romance,7698000
Jodie Foster,https://en.wikipedia.org/wiki/Jodie_Foster,1,The Silence of the Lambs,0,1,0,1,0,0,0,A,8.6,85,118,1991,4.2,8.6,Orion Pictures,130742922,Thriller,272742922
Geena Davis,https://en.wikipedia.org/wiki/Geena_Davis,0,Thelma & Louise,0,0,0,0,0,0,1,R,7.4,88,116,1991,3.4,7.8,MGM,45360915,Crime,45360915
Laura Dern,https://en.wikipedia.org/wiki/Laura_Dern,0,Rambling Rose,0,0,0,0,0,0,0,R,6.7,70,112,1991,3,7.2,New Line,6266621,Period,6266621
Bette Midler,https://en.wikipedia.org/wiki/Bette_Midler,0,For the Boys,0,0,1,0,0,0,0,R,6.3,75,138,1991,3.2,5,Fox,17860280,Musical,23202444
Susan Sarandon,https://en.wikipedia.org/wiki/Susan_Sarandon,0,Thelma & Louise,0,0,0,0,0,0,1,R,7.4,88,116,1991,3.4,7.8,MGM,45360915,Crime,45360915
Emma Thompson,https://en.wikipedia.org/wiki/Emma_Thompson,1,Howards End,0,1,0,1,0,0,1,PG,7.5,89,240,1992,3.8,8.3,Sony Classics,26126837,Period,26126837
