director_name,href,oscar,movie_name,golden_globe,bafta,critics_choice,dga,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Kevin Costner,https://en.wikipedia.org/wiki/Kevin_Costner,1,Dances with Wolves,1,0,0,1,0,1,PG-13,8,72,181,1990,3.6,7.5,Orion Pictures,184208848,Western,424208848
Francis Ford Coppola,https://en.wikipedia.org/wiki/Francis_Ford_Coppola,0,The Godfather Part III,0,0,0,0,0,0,R,7.6,60,162,1990,3.8,6.4,Paramount,66666062,Crime,136766062
Stephen Frears,https://en.wikipedia.org/wiki/Stephen_Frears,0,The Grifters,0,0,0,0,0,0,R,7,86,110,1990,3.5,8,Miramax,13446769,Crime,13446769
Barbet Schroeder,https://en.wikipedia.org/wiki/Barbet_Schroeder,0,Reversal of Fortune,0,0,0,0,0,0,R,7.3,93,111,1990,3.6,7.8,Warner Bros.,15445131,Thriller,15445131
Martin Scorsese,https://en.wikipedia.org/wiki/Martin_Scorsese,0,Goodfellas,0,1,0,0,0,0,A,8.7,89,146,1990,4.3,9,Warner Bros.,46836214,Crime,46836214
Jonathan Demme,https://en.wikipedia.org/wiki/Jonathan_Demme,1,The Silence of the Lambs,0,0,0,1,0,1,A,8.6,85,118,1991,4.2,8.6,Orion Pictures,130742922,Thriller,272742922
Barry Levinson,https://en.wikipedia.org/wiki/Barry_Levinson,0,Bugsy,0,0,0,0,0,0,R,6.8,80,136,1991,3.4,7,TriStar,49114016,Crime,49114016
Ridley Scott,https://en.wikipedia.org/wiki/Ridley_Scott,0,Thelma & Louise,0,0,0,0,0,0,R,7.4,88,116,1991,3.4,7.8,MGM,45360915,Crime,45360915
John Singleton,https://en.wikipedia.org/wiki/John_Singleton,0,Boyz n the Hood,0,0,0,0,0,0,R,7.8,76,112,1991,3.8,8.4,Columbia,57504069,Crime,57504069
Oliver Stone,https://en.wikipedia.org/wiki/Oliver_Stone,0,JFK,1,0,0,0,0,0,R,8,72,189,1991,3.9,7.7,Warner Bros.,70405498,Thriller,205405498
Clint Eastwood,https://en.wikipedia.org/wiki/Clint_Eastwood,1,Unforgiven,1,0,0,1,1,0,R,8.2,85,130,1992,4,8.7,Warner Bros.,101157447,Western,159157447
Robert Altman,https://en.wikipedia.org/wiki/Robert_Altman,0,The Player,0,1,0,0,0,0,R,7.6,86,124,1992,3.8,8.8,New Line,21706101,Comedy,21706101
Martin Brest,https://en.wikipedia.org/wiki/Martin_Brest,0,Scent of a Woman,0,0,0,0,0,0,R,8,59,156,1992,3.9,7.1,Universal,63095253,Drama,134095253
James Ivory,https://en.wikipedia.org/wiki/James_Ivory_(director),0,Howards End,0,0,0,0,0,1,PG,7.5,89,240,1992,3.8,8.3,Sony Classics,26126837,Period,26126837
Neil Jordan,https://en.wikipedia.org/wiki/Neil_Jordan,0,The Crying Game,0,0,0,0,0,0,R,7.3,90,112,1992,3.5,8.3,Miramax,62548947,Thriller,62548947
Steven Spielberg,https://en.wikipedia.org/wiki/Steven_Spielberg,1,Schindler's List,1,1,0,1,0,0,A,8.9,93,195,1993,4.3,9,Universal,96065768,War,321306305
Robert Altman,https://en.wikipedia.org/wiki/Robert_Altman,0,Short Cuts,0,0,0,0,0,0,R,7.7,79,188,1993,3.9,7.8,Fine Line,6110979,Drama,6110979
Jane Campion,https://en.wikipedia.org/wiki/Jane_Campion,0,The Piano,0,0,0,0,0,0,R,7.6,89,121,1993,3.8,8.2,Miramax,40157856,Romance,40157856
James Ivory,https://en.wikipedia.org/wiki/James_Ivory_(director),0,The Remains of the Day,0,0,0,0,0,0,PG,7.9,84,134,1993,3.9,8.4,Columbia,23237911,Period,23237911
Jim Sheridan,https://en.wikipedia.org/wiki/Jim_Sheridan,0,In the Name of the Father,0,0,0,0,1,0,R,8.1,84,133,1993,4,7.8,Universal,25096862,Thriller,65796862
Robert Zemeckis,https://en.wikipedia.org/wiki/Robert_Zemeckis,1,Forrest Gump,1,0,0,1,0,0,PG-13,8.8,82,142,1994,4.2,7.2,Paramount,330252182,Comedy,677945399
Woody Allen,https://en.wikipedia.org/wiki/Woody_Allen,0,Bullets over Broadway,0,0,0,0,0,0,R,7.5,79,98,1994,3.8,7.9,Miramax,13383747,Period,13383747
Krzysztof Kieslowski,https://en.wikipedia.org/wiki/Krzysztof_Kie%C5%9Blowski,0,Three Colors: Red,0,0,0,0,0,0,R,8.1,100,99,1994,4.2,8.8,Miramax,3581969,Foreign,3581969
Robert Redford,https://en.wikipedia.org/wiki/Robert_Redford,0,Quiz Show,0,0,0,0,0,0,PG-13,7.5,88,133,1994,3.6,8.2,Buena Vista,24822619,Period,24822619
Quentin Tarantino,https://en.wikipedia.org/wiki/Quentin_Tarantino,0,Pulp Fiction,0,0,0,0,0,1,A,8.9,94,154,1994,4.2,9.1,Miramax,107928762,Crime,213928762
Mel Gibson,https://en.wikipedia.org/wiki/Mel_Gibson,1,Braveheart,1,0,1,0,1,0,R,8.4,68,178,1995,3.9,7.2,Paramount,75609945,War,210409945
Mike Figgis,https://en.wikipedia.org/wiki/Mike_Figgis,0,Leaving Las Vegas,0,0,0,0,0,0,R,7.6,82,111,1995,3.6,7.7,MGM,32029928,Drama,32029928
Chris Noonan,https://en.wikipedia.org/wiki/Chris_Noonan,0,Babe,0,0,0,0,0,0,G,6.8,83,91,1995,3,8.3,Universal,63658910,Comedy,254134910
Michael Radford,https://en.wikipedia.org/wiki/Michael_Radford,0,Il Postino,0,1,0,0,0,0,PG,7.7,81,108,1995,4.2,8,Miramax,21848932,Foreign,21848932
Tim Robbins,https://en.wikipedia.org/wiki/Tim_Robbins,0,Dead Man Walking,0,0,0,0,0,0,R,7.5,80,122,1995,3.8,8.2,Gramercy,39363635,Drama,39363635
Anthony Minghella,https://en.wikipedia.org/wiki/Anthony_Minghella,1,The English Patient,0,0,1,1,0,0,R,7.4,87,162,1996,3.6,7.6,Miramax,78676425,Romance,231976425
Joel Coen,https://en.wikipedia.org/wiki/Coen_brothers,0,Fargo,0,1,0,0,1,1,R,8.1,85,98,1996,3.9,8.7,Gramercy,24611975,Crime,60611975
Milos Forman,https://en.wikipedia.org/wiki/Milo%C5%A1_Forman,0,The People vs. Larry Flynt,1,0,0,0,0,0,R,7.3,79,129,1996,3.5,7.7,Sony / Columbia,20300385,Comedy,20300385
Scott Hicks,https://en.wikipedia.org/wiki/Scott_Hicks,0,Shine,0,0,0,0,0,0,PG-13,7.7,87,105,1996,3.9,8,Fine Line,35892330,Musical,35892330
Mike Leigh,https://en.wikipedia.org/wiki/Mike_Leigh,0,Secrets & Lies,0,0,0,0,0,0,R,8,91,105,1996,4.1,8.6,October,13417292,Drama,13417292
James Cameron,https://en.wikipedia.org/wiki/James_Cameron,1,Titanic,1,0,1,1,1,0,UA,7.8,75,194,1997,3.4,8,Paramount,659363944,Romance,2187463944
Peter Cattaneo,https://en.wikipedia.org/wiki/Peter_Cattaneo,0,The Full Monty,0,0,0,0,0,0,R,7.2,75,91,1997,3.4,7.5,Fox Searchlight,45950122,Comedy,257938649
Atom Egoyan,https://en.wikipedia.org/wiki/Atom_Egoyan,0,The Sweet Hereafter,0,0,0,0,0,0,R,7.6,90,112,1997,4,8.9,Fine Line,3263585,Drama,3263585
Curtis Hanson,https://en.wikipedia.org/wiki/Curtis_Hanson,0,L.A. Confidential,0,0,0,0,0,1,R,8.3,90,138,1997,3.9,8.8,Warner Bros.,64616940,Crime,126216940
