movie_name,href,oscar,critics_choice,sag,bafta,pga,dga,golden_globe_mc,golden_globe_drama,wga_as,wga_os,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Dances with Wolves,https://en.wikipedia.org/wiki/Dances_with_Wolves,1,0,0,0,1,1,0,1,1,0,PG-13,8,72,181,1990,3.6,7.5,Orion Pictures,184208848,Western,424208848
Awakenings,https://en.wikipedia.org/wiki/Awakenings,0,0,0,0,0,0,0,0,0,0,PG-13,7.8,74,121,1990,3.8,6.7,Columbia,52096475,Drama,52096475
Ghost,https://en.wikipedia.org/wiki/Ghost_(1990_film),0,0,0,0,0,0,0,0,0,0,PG-13,7,52,127,1990,3.5,6.8,Paramount,217631306,Romance,505702588
The Godfather Part III,https://en.wikipedia.org/wiki/The_Godfather_Part_III,0,0,0,0,0,0,0,0,0,0,R,7.6,60,162,1990,3.8,6.4,Paramount,66666062,Crime,136766062
Goodfellas,https://en.wikipedia.org/wiki/Goodfellas,0,0,0,1,0,0,0,0,0,0,A,8.7,89,146,1990,4.3,9,Warner Bros.,46836214,Crime,46836214
The Silence of the Lambs,https://en.wikipedia.org/wiki/The_Silence_of_the_Lambs_(film),1,0,0,0,1,1,0,0,1,0,A,8.6,85,118,1991,4.2,8.6,Orion Pictures,130742922,Thriller,272742922
Beauty and the Beast,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(1991_film),0,0,0,0,0,0,1,0,0,0,UA,7.3,65,129,1991,3.8,8.4,Buena Vista,218967620,Animation,424967620
Bugsy,https://en.wikipedia.org/wiki/Bugsy,0,0,0,0,0,0,0,1,0,0,R,6.8,80,136,1991,3.4,7,TriStar,49114016,Crime,49114016
JFK,https://en.wikipedia.org/wiki/JFK_(film),0,0,0,0,0,0,0,0,0,0,R,8,72,189,1991,3.9,7.7,Warner Bros.,70405498,Thriller,205405498
The Prince of Tides,https://en.wikipedia.org/wiki/The_Prince_of_Tides,0,0,0,0,0,0,0,0,0,0,R,6.7,65,132,1991,3.5,6.5,Columbia,74787599,Drama,74787599
Unforgiven,https://en.wikipedia.org/wiki/Unforgiven,1,0,0,0,0,1,0,0,0,0,R,8.2,85,130,1992,4,8.7,Warner Bros.,101157447,Western,159157447
The Crying Game,https://en.wikipedia.org/wiki/The_Crying_Game,0,0,0,0,1,0,0,0,0,1,R,7.3,90,112,1992,3.5,8.3,Miramax,62548947,Thriller,62548947
A Few Good Men,https://en.wikipedia.org/wiki/A_Few_Good_Men,0,0,0,0,0,0,0,0,0,0,R,7.7,62,138,1992,3.6,7,Columbia,141340178,Thriller,243240178
Howards End,https://en.wikipedia.org/wiki/Howards_End_(film),0,0,0,1,0,0,0,0,0,0,PG,7.5,89,240,1992,3.8,8.3,Sony Classics,26126837,Period,26126837
Scent of a Woman,https://en.wikipedia.org/wiki/Scent_of_a_Woman_(1992_film),0,0,0,0,0,0,0,1,0,0,R,8,59,156,1992,3.9,7.1,Universal,63095253,Drama,134095253
Schindler's List,https://en.wikipedia.org/wiki/Schindler%27s_List,1,0,0,1,1,1,0,1,1,0,A,8.9,93,195,1993,4.3,9,Universal,96065768,War,321306305
The Fugitive,https://en.wikipedia.org/wiki/The_Fugitive_(1993_film),0,0,0,0,0,0,0,0,0,0,PG-13,7.8,88,130,1993,3.6,7.9,Warner Bros.,183875760,Action,368875760
In the Name of the Father,https://en.wikipedia.org/wiki/In_the_Name_of_the_Father_(film),0,0,0,0,0,0,0,0,0,0,R,8.1,84,133,1993,4,7.8,Universal,25096862,Thriller,65796862
The Piano,https://en.wikipedia.org/wiki/The_Piano,0,0,0,0,0,0,0,0,0,1,R,7.6,89,121,1993,3.8,8.2,Miramax,40157856,Romance,40157856
The Remains of the Day,https://en.wikipedia.org/wiki/The_Remains_of_the_Day_(film),0,0,0,0,0,0,0,0,0,0,PG,7.9,84,134,1993,3.9,8.4,Columbia,23237911,Period,23237911
Forrest Gump,https://en.wikipedia.org/wiki/Forrest_Gump,1,0,0,0,1,1,0,1,1,0,PG-13,8.8,82,142,1994,4.2,7.2,Paramount,330252182,Comedy,677945399
Four Weddings and a Funeral,https://en.wikipedia.org/wiki/Four_Weddings_and_a_Funeral,0,0,0,1,0,0,0,0,0,1,R,7.1,81,117,1994,3.2,7.6,Gramercy,52700832,Romance,245700832
Pulp Fiction,https://en.wikipedia.org/wiki/Pulp_Fiction,0,0,0,0,0,0,0,0,0,0,A,8.9,94,154,1994,4.2,9.1,Miramax,107928762,Crime,213928762
Quiz Show,https://en.wikipedia.org/wiki/Quiz_Show_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.5,88,133,1994,3.6,8.2,Buena Vista,24822619,Period,24822619
The Shawshank Redemption,https://en.wikipedia.org/wiki/The_Shawshank_Redemption,0,0,0,0,0,0,0,0,0,0,UA,9.3,80,142,1994,4.5,8.2,Columbia,28341469,Period,28341469
