actor_name,href,oscar,movie_name,sag,golden_globe,bafta,critics_choice,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Joe Pesci,https://en.wikipedia.org/wiki/Joe_Pesci,1,Goodfellas,0,0,0,0,0,0,A,8.7,89,146,1990,4.3,9,Warner Bros.,46836214,Crime,46836214
Bruce Davison,https://en.wikipedia.org/wiki/Bruce_Davison,0,Longtime Companion,0,1,0,0,0,0,R,7.5,78,96,1989,3.9,7.7,Samuel Goldwyn,4609953,Romance,4609953
Andy Garcia,https://en.wikipedia.org/wiki/Andy_Garc%C3%ADa,0,The Godfather Part III,0,0,0,0,0,0,R,7.6,60,162,1990,3.8,6.4,Paramount,66666062,Crime,136766062
Graham Greene,https://en.wikipedia.org/wiki/Graham_Greene_(actor),0,Dances with Wolves,0,0,0,0,0,0,PG-13,8,72,181,1990,3.6,7.5,Orion Pictures,184208848,Western,424208848
Al Pacino,https://en.wikipedia.org/wiki/Al_Pacino,0,Dick Tracy,0,0,0,0,0,0,PG,6.1,60,105,1990,2.9,5.7,Buena Vista,103738726,Period,162738726
Jack Palance,https://en.wikipedia.org/wiki/Jack_Palance,1,City Slickers,0,1,0,0,0,0,PG-13,6.7,70,113,1991,3.1,7,Columbia,124033791,Comedy,179033791
Tommy Lee Jones,https://en.wikipedia.org/wiki/Tommy_Lee_Jones,0,JFK,0,0,0,0,0,0,R,8,72,189,1991,3.9,7.7,Warner Bros.,70405498,Thriller,205405498
Harvey Keitel,https://en.wikipedia.org/wiki/Harvey_Keitel,0,Bugsy,0,0,0,0,0,0,R,6.8,80,136,1991,3.4,7,TriStar,49114016,Crime,49114016
Ben Kingsley,https://en.wikipedia.org/wiki/Ben_Kingsley,0,Bugsy,0,0,0,0,0,0,R,6.8,80,136,1991,3.4,7,TriStar,49114016,Crime,49114016
Michael Lerner,https://en.wikipedia.org/wiki/Michael_Lerner_(actor),0,Barton Fink,0,0,0,0,0,0,R,7.7,69,116,1991,4,7.6,Fox,6153939,Comedy,6153939
Gene Hackman,https://en.wikipedia.org/wiki/Gene_Hackman,1,Unforgiven,0,1,1,0,0,0,R,8.2,85,130,1992,4,8.7,Warner Bros.,101157447,Western,159157447
Jaye Davidson,https://en.wikipedia.org/wiki/Jaye_Davidson,0,The Crying Game,0,0,0,0,0,0,R,7.3,90,112,1992,3.5,8.3,Miramax,62548947,Thriller,62548947
Jack Nicholson,https://en.wikipedia.org/wiki/Jack_Nicholson,0,A Few Good Men,0,0,0,0,0,1,R,7.7,62,138,1992,3.6,7,Columbia,141340178,Thriller,243240178
Al Pacino,https://en.wikipedia.org/wiki/Al_Pacino,0,Glengarry Glen Ross,0,0,0,0,0,0,R,7.8,80,100,1992,3.9,8.5,New Line,10725228,Drama,10725228
David Paymer,https://en.wikipedia.org/wiki/David_Paymer,0,Mr. Saturday Night,0,0,0,0,0,0,R,5.8,58,119,1992,2.8,5.5,Columbia,13351357,Comedy,13351357
Tommy Lee Jones,https://en.wikipedia.org/wiki/Tommy_Lee_Jones,1,The Fugitive,0,1,0,0,0,0,PG-13,7.8,88,130,1993,3.6,7.9,Warner Bros.,183875760,Action,368875760
Leonardo DiCaprio,https://en.wikipedia.org/wiki/Leonardo_DiCaprio,0,What's Eating Gilbert Grape,0,0,0,0,0,1,PG-13,7.8,73,118,1993,3.8,7.3,Paramount,10032765,Comedy,10032765
Ralph Fiennes,https://en.wikipedia.org/wiki/Ralph_Fiennes,0,Schindler's List,0,0,1,0,0,0,A,8.9,93,195,1993,4.3,9,Universal,96065768,War,321306305
John Malkovich,https://en.wikipedia.org/wiki/John_Malkovich,0,In the Line of Fire,0,0,0,0,0,0,R,7.2,74,128,1993,3.5,7.8,Columbia,102314823,Action,176997168
